"find_id","hit_id","assignment_id","worker_id","original","updated","time","pitch","heading","trial","gen","zoom","find_time","invalid_count","valid_count"
13,"3VP28W7DUMJ0MOON1WK71HCPL36FZ3","3Z3ZLGNNSITZF45WK75TYZ68OST3QK","A2QRWJO2OTLUG7","Find a brown tarp.","Look tdown and right from the yellow M&M guy.","2017-12-11 03:22:59+00",-9.326025109156546,81.57274496961719,0,0,1.729453508466685,13.693,0,0
15,"3G5RUKN2EB2X4PJRVM9LWYJ58R3N92","3HL8HNGX450O3H43N0V9DD5GHIUF9J","A19UJLX3X4YDI7","Find the bench.","There is no bench in this photo.","2017-12-11 03:24:36+00",-13.384097158529542,135.0669723371126,1,0,0.9999999999999997,8.33,0,0
18,"3Q7TKIAPOS9JJFTNVPY852Y6UHILDF","3LBXNTKX0RU533VONU1VJK5NLNPX9R","A19UJLX3X4YDI7","Find the yellow sign.","Yellow sign is on the right side of the road.","2017-12-11 03:25:32+00",-0.6076798894202966,62.32925529000986,2,0,0.9999999999999997,18.178,0,0
19,"3VP28W7DUMJ0MOON1WK71HCPL36FZ3","3HL8HNGX450O3H43N0V9DD5GHIT9FC","A3VQFSAH9OW4W7","Find a brown tarp.","A row of umbrellas line the edge of the street along with chairs and what appears to be vendor booths. Midway down the street, a large brown tarp is visible and appears to be securing property or merchandise while a man sits in a chair with his back to the bungle secured by the brown tarp.","2017-12-11 03:25:56+00",-12.406065086104164,81.12352540744838,0,0,1,31.485,0,0
20,"3Q7TKIAPOS9JJFTNVPY852Y6UHILDF","30ZX6P7VF8UT8Z50LH7FIOPU4J12JH","AT8WD9ENVE1J6","Find the yellow sign.","A yellow sign with a deer/llama/wild animal on it.","2017-12-11 03:26:50+00",-0.5871319506523776,67.31018959777235,2,0,2.2297444727376767,42.481,0,0
21,"3Q7TKIAPOS9JJFTNVPY852Y6UHILDF","3VNL7UK1XFI7NWDHL60Q4D6SBPXFTJ","A2V8LLZRTOP79S","Find the yellow sign.","Using the google map. ","2017-12-11 03:26:53+00",-43.22233365947415,69.94856832593715,2,0,0.3244086367453609,54.915,0,0
1,"3VP28W7DUMJ0MOON1WK71HCPL36FZ3","3AMW0RGHOD1LJWXR2DAJ78E4OCQNPJ","AWRK8ZD3KKZAW","Find a brown tarp.","Find a brown tarp that is to the right of the image.","2017-12-11 03:13:45+00",-9.649638175041389,80.65283970476467,0,0,1,12.924,0,6
3,"3VP28W7DUMJ0MOON1WK71HCPL36FZ3","3WQ3B2KGE8FG1VPSELUKFHWC4781B6","A2RWG1BDW949U1","Find a brown tarp.","next to the food kart","2017-12-11 03:14:58+00",-13.666450179028445,83.23419058668797,0,0,0.9999999999999997,15.369,0,6
6,"3VP28W7DUMJ0MOON1WK71HCPL36FZ3","3V5Q80FXIXQINL3BIWFS2H858MA230","A1DY3EW6Q0B5K5","Find a brown tarp.","The brown tarp is to your right. ","2017-12-11 03:16:11+00",-1.9257676457637132,76.30412966978166,0,0,0.8681201165374324,13.464,0,6
10,"3VP28W7DUMJ0MOON1WK71HCPL36FZ3","3PM8NZGV8YFBV2CA4WCH5FVCVMNXQ5","A35K3YVCX1LVPE","Find a brown tarp.","There is a brown tarp on a busy street next to a food stand.","2017-12-11 03:19:35+00",-16.296179613970253,49.02857798276287,0,0,0.9999999999999997,251.906,6,0
12,"3VP28W7DUMJ0MOON1WK71HCPL36FZ3","3L4PIM1GQTF078HKM7NJTJCQTFORYD","A1D55M2EPFWCET","Find a brown tarp.","Brown tarp is covering an object. It is located on a sidewalk near a red and yellow umbrella.","2017-12-11 03:21:19+00",-10.013876146818191,79.57906858314593,0,0,1.0000000000000002,45.253,0,6
2,"3G5RUKN2EB2X4PJRVM9LWYJ58R3N92","3R6P78PK7KAD1W9CWQ68MY64C3PTGM","A3U21PUMQ6NGT2","Find the bench.","The bench is on a brick patio in front of the white house with the tan roof that has a white SUV parked in the driveway.","2017-12-11 03:14:34+00",-3.338382699828344,318.10283481852866,1,0,1.7251498650358186,34.668,0,5
11,"3G5RUKN2EB2X4PJRVM9LWYJ58R3N92","3VP0C6EFSGV7R8UMBGWAOTYNOIWM6K","A2QRWJO2OTLUG7","Find the bench.","Look for a white house with anSUV parked in the driveway.","2017-12-11 03:21:18+00",-3.002567935136952,317.8001321372809,1,0,1.8631333288356617,38.383,0,5
14,"3G5RUKN2EB2X4PJRVM9LWYJ58R3N92","3DZQRBDBSLEBSKK9CBUYTZL96GE3S9","A1D55M2EPFWCET","Find the bench.","the bench is located in front of a white house by a white truck.","2017-12-11 03:23:54+00",-0.4746957077098699,297.7763851136076,1,0,1.0000000000000002,104.425,0,5
8,"3G5RUKN2EB2X4PJRVM9LWYJ58R3N92","3EG49X351UBILKTQPNYJZAELVMDX6C","A1DY3EW6Q0B5K5","Find the bench.","There is a bench behind you. Turn around and look towards the right. ","2017-12-11 03:17:28+00",-6.254060609515292,311.1720170943147,1,0,2.2307846962561664,41.141,0,5
9,"3G5RUKN2EB2X4PJRVM9LWYJ58R3N92","3R9WASFE2ZF398MGRYP8Q179WKDFZR","A2OH4HSBUHQCLS","Find the bench.","The bench is located on the front patio of a single story home (with a white SUV in the driveway).","2017-12-11 03:17:50+00",-4.337183478463288,269.262594543595,1,0,1,7.632,4,1
4,"3Q7TKIAPOS9JJFTNVPY852Y6UHILDF","35USIKEBNRFD9QFMNHBA18NNT72N6F","A2RWG1BDW949U1","Find the yellow sign.","on the right side of the road","2017-12-11 03:15:27+00",-4.249406667971783,65.80517294999069,2,0,0.9999999999999997,9.557,0,8
5,"3Q7TKIAPOS9JJFTNVPY852Y6UHILDF","3RU7GD8VPOSIZ9PWA9R562OABB0PSZ","A1DY3EW6Q0B5K5","Find the yellow sign.","The yellow sign is behind you, so turn around. ","2017-12-11 03:15:34+00",7.457575069698706,66.14983607731179,2,0,0.9999999999999997,13.107,0,8
7,"3Q7TKIAPOS9JJFTNVPY852Y6UHILDF","38F71OA9GTV3A1NXC9ZEIZB0HHWFMD","AWRK8ZD3KKZAW","Find the yellow sign.","Find the yellow sign that is located directly behind you on the image.","2017-12-11 03:16:57+00",-2.278566200082338,63.471161233214445,2,0,1,28.651,0,8
16,"3Q7TKIAPOS9JJFTNVPY852Y6UHILDF","3QEMNNSB2XYNRE2EHX2ZBHBPAFQ7DO","A1D55M2EPFWCET","Find the yellow sign.","the yellow sign is shaped like a diamond on the side of the road.","2017-12-11 03:25:08+00",-2.082256454334356,61.85875172095817,2,0,1.0000000000000002,31.435,0,8
17,"3Q7TKIAPOS9JJFTNVPY852Y6UHILDF","36AHBNMV1RB66YYF46SZOUVMEEXYDE","A35K3YVCX1LVPE","Find the yellow sign.","It's a yellow sign with a animal on it. The sign is on the side of a road.","2017-12-11 03:25:26+00",-4.68253281156818,100.19333608335748,2,0,0.9999999999999997,103.043,8,0
